race,sex,fatal,date,has_court_case,age,street_name,zip_code,police_district,neighborhood,school_catchment,lng,lat
Black (Non-Hispanic),Male,Fatal,2/29/2024 22:59,No,49,MOUNT PLEASANT DR,19121,22,Park,James G. Blaine School,-75.200269,39.984621
Black (Non-Hispanic),Female,Fatal,2/29/2024 22:59,No,38,MOUNT PLEASANT DR,19121,22,Park,James G. Blaine School,-75.200269,39.984621
Black (Non-Hispanic),Male,Nonfatal,2/29/2024 19:30,No,19,MASTER ST,19131,19,Haddington-Overbrook,Universal Charter School at Bluford,-75.233379,39.973464
Black (Non-Hispanic),Male,Fatal,2/29/2024 2:44,No,44,LANCASTER AVE,19104,16,Mill Creek-Parkside,Martha Washington School,-75.209012,39.967213
Black (Non-Hispanic),Male,Nonfatal,2/29/2024 2:44,No,38,LANCASTER AVE,19104,16,Mill Creek-Parkside,Martha Washington School,-75.209012,39.967213
Black (Non-Hispanic),Female,Nonfatal,2/29/2024 2:44,No,44,LANCASTER AVE,19104,16,Mill Creek-Parkside,Martha Washington School,-75.209115,39.967115
Black (Non-Hispanic),Male,Fatal,2/29/2024 1:53,No,31,PULASKI AVE,19144,39,East Falls-Westside,John B. Kelly School,-75.178989,40.029387
Black (Non-Hispanic),Male,Nonfatal,2/28/2024 22:24,No,29,WOODLAND AVE,19142,12,Paschall-Kingsessing,Joseph W. Catharine School,-75.233287,39.926399
Black (Non-Hispanic),Male,Nonfatal,2/28/2024 3:25,No,,N 19TH ST,19132,22,Strawberry Mansion,William Dick School,-75.163504,39.990411
Asian,Female,Fatal,2/27/2024 18:55,No,31,S MARSHALL ST,19148,3,Snyder-Whitman,Francis S. Key School,-75.157934,39.919377
Black (Non-Hispanic),Male,Nonfatal,2/27/2024 16:34,No,18,W VENANGO ST,19140,39,Nicetown-Tioga,Mastery Charter School at Cleveland,-75.161294,40.008888
Black (Non-Hispanic),Male,Nonfatal,2/27/2024 1:27,No,36,N 5TH ST,19120,35,Olney-Feltonville,Thurgood Marshall School,-75.131237,40.033524
Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,21,W MONTGOMERY AVE,19121,22,Strawberry Mansion,William D. Kelley School,-75.178601,39.982924
Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,29,W MONTGOMERY AVE,19121,22,Strawberry Mansion,William D. Kelley School,-75.178601,39.982924
Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:45,No,28,W MONTGOMERY AVE,19121,22,Strawberry Mansion,William D. Kelley School,-75.178601,39.982924
Black (Non-Hispanic),Male,Nonfatal,2/26/2024 21:24,No,14,MARKET ST,19139,18,Cobbs Creek,John Barry School,-75.23893,39.96168
Black (Non-Hispanic),Male,Nonfatal,2/26/2024 5:34,No,25,N 16TH ST,19140,39,Nicetown-Tioga,Mastery Charter School at Cleveland,-75.153812,40.012846
Black (Non-Hispanic),Male,Fatal,2/26/2024 0:17,No,38,WAGNER AVE,19141,35,Logan,Lindley Academy Charter at Birney,-75.140565,40.033695
