"","class","cap.diameter","cap.shape","cap.color","does.bruise.or.bleed","gill.color","stem.height","stem.width","stem.color","has.ring","ring.type","habitat","season"
"1","p",15.26,"x","o","f","w",16.95,17.09,"w","t","g","d","w"
"2","p",16.6,"x","o","f","w",17.99,18.19,"w","t","g","d","u"
"3","p",14.07,"x","o","f","w",17.8,17.74,"w","t","g","d","w"
"4","p",14.17,"f","e","f","w",15.77,15.98,"w","t","p","d","w"
"5","p",14.64,"x","o","f","w",16.53,17.2,"w","t","p","d","w"
"6","p",15.34,"x","o","f","w",17.84,18.79,"w","t","p","d","u"
"7","p",14.85,"f","o","f","w",17.71,16.89,"w","t","g","d","w"
"8","p",14.86,"x","e","f","w",17.03,17.44,"w","t","p","d","u"
"9","p",12.85,"f","o","f","w",17.27,18.69,"w","t","p","d","a"
"10","p",13.55,"f","e","f","w",16.04,16.88,"w","t","p","d","w"
"11","p",14.17,"f","e","f","w",17.86,18.02,"w","t","p","d","a"
"12","p",13.4,"x","o","f","w",17.95,17.14,"w","t","p","d","u"
"13","p",17.37,"x","o","f","w",18.1,18.27,"w","t","g","d","u"
"14","p",16.56,"x","o","f","w",18.89,18.11,"w","t","p","d","u"
"15","p",15.37,"x","e","f","w",18.19,18.38,"w","t","g","d","a"
"16","p",15.54,"f","e","f","w",18.26,17.87,"w","t","p","d","a"
"17","p",15.19,"x","e","f","w",17.42,17.67,"w","t","p","d","a"
"18","p",17.4,"x","o","f","w",18.48,18.54,"w","t","p","d","a"
"19","p",16.16,"x","o","f","w",19.46,18.9,"w","t","p","d","w"
"20","p",16.93,"x","e","f","w",18.31,17.81,"w","t","p","d","u"
"21","p",13,"f","e","f","w",17.3,17.19,"w","t","g","d","w"
"22","p",13.06,"x","e","f","w",16.9,17.38,"w","t","g","d","u"
"23","p",17.23,"x","o","f","w",17.63,17.92,"w","t","g","d","w"
"24","p",14.39,"x","e","f","w",16.98,17.48,"w","t","p","d","w"
"25","p",15.56,"f","o","f","w",17.28,16.99,"w","t","p","d","u"
